school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,Gvg,Avgalc,Bum
0,0,0.4000000000000003,0,1,0,0.25,0.25,0.0,0.5,0.0,0,1,0,0,0,1,1,0,1.0,0.5,0.5,0.0,0.0,0.5,0.1333333333333333,9,11,11,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0.33333333333333326,0.0,0.21710526315789472
0,0,0.0,0,0,0,0.25,0.25,0.0,0.5,0.0,1,0,0,0,1,1,1,0,0.75,0.5,0.25,0.5,0.5,0.5,0.4,12,13,12,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0.5714285714285714,0.5,0.5855263157894737
0,0,0.0,0,1,0,1.0,0.5,0.0,1.0,0.0,0,1,0,1,1,1,1,1,0.5,0.25,0.25,0.0,0.0,1.0,0.0,14,14,14,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0.7142857142857142,0.0,0.0
0,0,0.2000000000000001,0,1,0,0.75,0.75,0.0,0.5,0.0,0,1,0,0,1,1,0,0,0.75,0.5,0.25,0.0,0.25,1.0,0.0,11,13,13,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.5238095238095237,0.125,0.23026315789473684
0,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.5,0.0,0,1,0,1,1,1,1,0,1.0,0.75,0.25,0.0,0.25,1.0,0.4,12,12,13,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,0.5238095238095237,0.125,0.4210526315789474
0,1,0.2000000000000001,0,0,0,0.5,0.5,0.0,0.5,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,13,12,13,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.5714285714285714,0.0,0.19736842105263158
0,0,0.4000000000000003,0,1,1,1.0,1.0,0.3333333333333333,0.5,0.0,1,1,0,0,1,1,0,0,0.75,0.0,0.75,0.0,0.0,0.0,0.1333333333333333,10,13,13,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.47619047619047605,0.0,0.1513157894736842
0,1,0.0,0,0,1,0.75,0.5,0.0,0.5,0.0,0,1,0,0,1,1,1,0,0.75,0.25,0.25,0.0,0.0,0.0,0.0,15,16,17,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.857142857142857,0.0,0.13157894736842105
0,1,0.0,0,1,0,0.75,1.0,0.0,0.5,0.0,0,1,0,1,1,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12,12,13,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.5238095238095237,0.0,0.23026315789473684
0,0,0.0,0,1,0,1.0,1.0,0.0,0.5,0.0,0,1,0,0,1,1,1,0,0.5,0.5,0.5,0.0,0.25,0.25,0.1333333333333333,14,14,14,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,0.7142857142857142,0.125,0.28289473684210525
0,0,0.0,0,1,0,0.5,0.25,0.6666666666666667,1.0,0.0,0,1,0,1,1,1,1,0,1.0,0.25,0.25,0.0,0.0,0.75,0.0,10,12,13,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0.4285714285714284,0.0,0.0
0,1,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,1,0,1,1,1,1,0,0.75,0.5,0.5,0.0,0.5,1.0,0.0,12,13,12,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,0.5714285714285714,0.25,0.4276315789473684
0,1,0.0,0,1,0,1.0,0.75,0.3333333333333333,0.5,0.0,0,1,0,0,1,1,1,0,1.0,0.75,0.5,0.0,0.25,0.5,0.0,12,12,13,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0.5238095238095237,0.125,0.2631578947368421
0,1,0.0,0,1,1,0.5,0.5,0.0,1.0,0.0,0,1,0,0,1,1,1,1,0.75,1.0,0.25,0.0,0.0,0.5,0.0,14,14,15,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,0.7142857142857142,0.0,0.09868421052631579
0,0,0.2000000000000001,0,1,0,1.0,1.0,0.0,0.0,0.0,0,1,0,0,1,1,1,0,0.75,0.75,0.75,0.0,0.25,0.25,0.4,17,17,17,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,1.0,0.125,0.5526315789473684
0,0,0.2000000000000001,0,1,0,1.0,1.0,0.0,1.0,0.0,0,1,0,1,1,1,1,0,0.5,0.25,0.5,0.0,0.25,0.25,0.6666666666666666,13,13,14,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,0.6190476190476191,0.125,0.3289473684210526
0,0,0.2000000000000001,0,1,0,0.75,0.75,0.6666666666666667,0.5,0.0,1,1,0,1,1,1,0,0,1.0,0.5,0.25,0.0,0.0,0.75,0.1333333333333333,13,14,14,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0.6666666666666665,0.0,0.21710526315789472
0,1,0.2000000000000001,0,0,0,1.0,0.75,0.0,0.0,0.0,0,0,0,1,1,1,1,0,0.5,0.0,0.5,0.0,0.5,1.0,0.4,12,12,12,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,0.5238095238095237,0.25,0.519736842105263
0,1,0.0,0,1,0,1.0,0.75,0.0,0.5,0.0,0,0,0,0,1,1,1,0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,12,13,14,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,0.5714285714285714,0.0,0.19736842105263158
